datetime,GLD,cash,commission,total,returns,equity_curve,drawdown
2023-01-05,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-06,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-09,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-10,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-11,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-12,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-13,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-17,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-18,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-19,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-20,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-23,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
2023-01-24,0.0,107456.7992370605,18.200000000000003,107456.7992370605,0.0,1.0745679923706,0.05007899328613563
